,score,pearson,spearman,ssim,r2,rmse,kolmogorov_smirnov,jensen_shannon,run_time,percentage,maptag,approach,category
0,0.6785714285714286,0.7092726826667786,0.758953332901001,0.989798903465271,0.030030984431505203,0.93159419298172,0.48317185044288635,0.1456109881401062,181.9829032421112,2.0,25.0,swr,spatial
1,0.75,0.4496070444583893,0.4171725809574127,0.9917663335800171,0.19075196981430054,0.8509198427200317,0.2450280487537384,0.18701137602329254,0.0023610591888427734,2.0,25.0,idw,deterministic
2,0.6785714285714286,0.4094863831996918,0.39695248007774353,0.9900243878364563,0.09066275507211685,0.9020078778266907,0.1310555785894394,0.17463333904743195,0.11217594146728516,2.0,25.0,rbf,deterministic
3,0.39285714285714285,0.3961860239505768,0.39486029744148254,0.9893931746482849,0.02049356698989868,0.9361630082130432,0.11881692707538605,0.18265770375728607,0.002194643020629883,2.0,25.0,knn,deterministic
4,,,,,,,,,,,,krige,spatial
5,,,,,,,,,,,,regkrige,spatial
6,0.5714285714285714,0.7663544416427612,0.8147234916687012,0.9904946684837341,0.0868237167596817,0.9012004137039185,0.4518674314022064,0.11276354640722275,172.25402688980103,5.0,25.0,swr,spatial
7,0.75,0.7091802358627319,0.705264687538147,0.9954497218132019,0.500377893447876,0.6665993332862854,0.1125723272562027,0.12500254809856415,0.015679597854614258,5.0,25.0,idw,deterministic
8,0.6785714285714286,0.7044671773910522,0.7000976800918579,0.9954082369804382,0.4934014081954956,0.6712372899055481,0.10731194168329239,0.12421905994415283,0.18990182876586914,5.0,25.0,rbf,deterministic
9,0.5,0.6889415383338928,0.6858384609222412,0.9952771067619324,0.46143579483032227,0.6920903921127319,0.07311940938234329,0.12448184192180634,0.00261688232421875,5.0,25.0,knn,deterministic
10,,,,,,,,,,,,krige,spatial
11,,,,,,,,,,,,regkrige,spatial
12,1.0,0.972037672996521,0.988113284111023,0.9995764493942261,0.9440908432006836,0.22418852150440216,0.0308162122964859,0.01367547083646059,1.2304315567016602,10.0,25.0,regkrige,spatial
13,0.4523809523809524,0.8984875679016113,0.9316398501396179,0.9914374351501465,0.15576934814453125,0.8711692690849304,0.4236535131931305,0.05391260236501694,168.99440360069275,10.0,25.0,swr,spatial
14,0.761904761904762,0.8809230923652649,0.8708972930908203,0.9982678890228271,0.7759426236152649,0.4487987458705902,0.03858967125415802,0.06836983561515808,0.9712936878204346,10.0,25.0,rbf,deterministic
15,0.5952380952380951,0.8639980554580688,0.855039119720459,0.9979333877563477,0.7299952507019043,0.49267175793647766,0.07828983664512634,0.07523617148399353,4.052883863449097,10.0,25.0,krige,spatial
16,0.42857142857142855,0.8469322919845581,0.8392858505249023,0.9976733326911926,0.6965076923370361,0.5223309993743896,0.09217101335525513,0.08341994136571884,0.0029363632202148438,10.0,25.0,knn,deterministic
17,0.2619047619047619,0.8279076814651489,0.8245556354522705,0.9973201155662537,0.660760760307312,0.5522363781929016,0.10438644886016846,0.09253329783678055,0.029081106185913086,10.0,25.0,idw,deterministic
18,1.0,0.9935685396194458,0.9928975105285645,0.9999086856842041,0.9871514439582825,0.10742596536874771,0.007994670420885086,0.006688547786325216,7.993924856185913,25.0,25.0,krige,spatial
19,0.7857142857142857,0.9893251657485962,0.9882842898368835,0.9998571872711182,0.9779653549194336,0.14068110287189484,0.016322452574968338,0.010639390908181667,0.8962602615356445,25.0,25.0,rbf,deterministic
20,0.7142857142857142,0.9871389269828796,0.9924263954162598,0.9998336434364319,0.9744215607643127,0.15157221257686615,0.021652230992913246,0.008059675805270672,17.875065803527832,25.0,25.0,regkrige,spatial
21,0.4523809523809524,0.9538268446922302,0.9523361325263977,0.9993091821670532,0.8931479454040527,0.30979466438293457,0.05029980093240738,0.03356548771262169,0.0028765201568603516,25.0,25.0,knn,deterministic
22,0.2857142857142857,0.9516612887382507,0.97611403465271,0.9943068623542786,0.3892107903957367,0.7406758666038513,0.3231179118156433,0.027339858934283257,171.90355467796326,25.0,25.0,swr,spatial
23,0.2619047619047619,0.9512827396392822,0.9490529298782349,0.9992262721061707,0.8833277225494385,0.3237176239490509,0.053297802805900574,0.03661205992102623,0.0830230712890625,25.0,25.0,idw,deterministic
24,1.0,0.9999995827674866,0.9999987483024597,1.0,0.9999991059303284,0.0008814655593596399,0.0014992504147812724,8.731162211006449e-07,30.32144832611084,50.0,25.0,krige,spatial
25,0.8333333333333333,0.998309314250946,0.9979740381240845,0.9999781250953674,0.9963218569755554,0.057019177824258804,0.00899550225585699,0.002250081393867731,0.551323652267456,50.0,25.0,rbf,deterministic
26,0.6666666666666666,0.9895832538604736,0.993636429309845,0.999885618686676,0.9792611598968506,0.1353936344385147,0.022488756105303764,0.0065506394021213055,220.10182070732117,50.0,25.0,regkrige,spatial
27,0.5,0.9709284901618958,0.9675530195236206,0.9996073842048645,0.9314194917678833,0.2462102621793747,0.039480261504650116,0.024392979219555855,0.11463069915771484,50.0,25.0,idw,deterministic
28,0.3333333333333333,0.9701060056686401,0.9671421051025391,0.9995809197425842,0.9287723302841187,0.2509170174598694,0.043478261679410934,0.024827368557453156,0.0026526451110839844,50.0,25.0,knn,deterministic
29,0.16666666666666666,0.942893922328949,0.9633461833000183,0.9972771406173706,0.6533239483833313,0.5535637736320496,0.20789605379104614,0.03266488015651703,228.31596779823303,50.0,25.0,swr,spatial
